ratio_loss_0.1,ratio_loss_0.2,ratio_loss_0.6,ratio_loss_0.8,ratio_loss_0.9
0.0049847248010337,0.0058832126669585,0.0016287879552692,0.0013869043905287,0.0013118509668856
0.0091062458232045,0.0028977505862712,0.0035604822915047,0.0014817973133176,0.0015043197199702
0.0033410713076591,0.0027353451587259,0.0015478450804948,0.0009223425295203,0.0008719135075807
0.0014643740141764,0.0016384605551138,0.0012422065483406,0.0006783803692087,0.0006458961870521
0.0013450386468321,0.001113181002438,0.0009487746283411,0.0006781691336072,0.0006931364769116
0.0014995452947914,0.0010463212383911,0.000827620155178,0.0005856193020008,0.0006071334937587
0.0014435766497626,0.0010313694365322,0.0008359153871424,0.0005382378585636,0.0005371228326112
0.0012422988656908,0.0009097752626985,0.0007587186992168,0.0004847282543778,0.000464022916276
0.0010219076648354,0.0008051149197854,0.0006879896391183,0.0004252534708939,0.0004380350874271
0.0008621837478131,0.0007125210249796,0.0006052960525266,0.0004182851407676,0.0004046891117468
0.0007341576274484,0.000643631152343,0.0005199494771659,0.0003902790776919,0.0003964473726227
0.0006999821634963,0.0005914805224165,0.0005098527763038,0.0003794296062551,0.0003634289605543
0.0006586745148524,0.0005487053422257,0.0004776691785082,0.0003795857774093,0.0003728881129063
0.0006623833323828,0.0005144661408849,0.0004794583073817,0.0003370163612999,0.000350084650563
0.0006191106513142,0.0005098705878481,0.0004601581604219,0.0003360808768775,0.0003400084096938
0.0006080316379666,0.0004825057112611,0.0004212964267935,0.0003098839079029,0.0003033142420463
0.0006015438702888,0.0004852249403484,0.000418713374529,0.0003328569873701,0.0003196496109012
0.0005587510531768,0.0004622953129,0.0004048248229082,0.0003073939005844,0.0002890508039854
0.0005379312206059,0.0004487722180783,0.0003846172767225,0.0002946044551208,0.0002928705653175
0.0004916439065709,0.0004363027692306,0.0003767475718632,0.0002901518600992,0.0002858226071111
0.0004790887760464,0.000421903852839,0.0003678470966406,0.0002846455317921,0.0002883514389395
0.0004580421664286,0.0004120817757211,0.0003614598244894,0.0002773695159703,0.0002828085853252
0.0004573118349071,0.0004039558698423,0.0003202660591341,0.0002726091770455,0.0002713751746341
0.0004373583069536,0.0003864750615321,0.0003124923096038,0.000262388261035,0.000267126597464
0.00043887263746,0.0003838670090772,0.0003234341857023,0.0002605601330287,0.0002581302833277
0.0004074250173289,0.0003567086532711,0.0003292110050097,0.00026922498364,0.0002562137378845
0.0003926056961063,0.0003500696329865,0.0003327233716845,0.0002530243364162,0.0002431016764603
0.0003859171411022,0.0003511918475851,0.000327504298184,0.0002583408786449,0.0002564709284342
0.0003821502323262,0.0003434515965636,0.0003244431864004,0.0002439043310005,0.0002436562353977
0.0003783567226491,0.0003394339000806,0.0003083010669797,0.0002299397165188,0.0002366506378166
0.000365878251614,0.0003410537028685,0.0002939006662927,0.0002319544146303,0.0002347703266423
0.0003737749066203,0.0003310955362394,0.0002853033365681,0.0002239586174255,0.0002287754177814
0.0003587342798709,0.000324349704897,0.0002728045219555,0.0002295206941198,0.0002217020664829
0.0003435578546486,0.0003283660043962,0.0002827469143085,0.0002147970080841,0.0002211321698268
0.0003345849690958,0.0003160780179314,0.0002795615582726,0.0002224649797426,0.0002049388567684
0.0003347471938468,0.0003099474706687,0.0002742858487181,0.0002138075942639,0.0002036089863395
0.0003222221566829,0.0003048879152629,0.0002713725261855,0.0002012270269915,0.0002189775987062
0.0003365229931659,0.0003079788293689,0.0002549714990891,0.000208790457691,0.000204523152206
0.000326855253661,0.000298389350064,0.0002757818147074,0.0002044257707893,0.0002019057865254
0.0003392759826965,0.0002985734317917,0.0002718577452469,0.0001897526963148,0.0001905012322822
0.0003058587317354,0.0002953291987068,0.0002476624504197,0.0002072993083857,0.0001871065906016
0.0003327543381601,0.0002809484140016,0.0002508385514374,0.0001965091651072,0.0001920368231367
0.0003285355051048,0.0002683795173652,0.0002528320765122,0.000195324915694,0.0001782025356078
0.0003093644045293,0.0002703573554754,0.0002590410294942,0.0001802134647732,0.0001850787957664
