"Step","wv3 warm up_0 - RND/RSP_loss","wv3 warm up_0 - RND/RSP_loss__MIN","wv3 warm up_0 - RND/RSP_loss__MAX"
"271","0.001501099206507206","0.001501099206507206","0.001501099206507206"
"272","0.0014926667790859938","0.0014926667790859938","0.0014926667790859938"
"273","0.0009448438649997115","0.0009448438649997115","0.0009448438649997115"
"274","0.0007397177978418767","0.0007397177978418767","0.0007397177978418767"
"275","0.0007036776514723897","0.0007036776514723897","0.0007036776514723897"
"276","0.00062703771982342","0.00062703771982342","0.00062703771982342"
"277","0.0005668255034834146","0.0005668255034834146","0.0005668255034834146"
"278","0.0005060541443526745","0.0005060541443526745","0.0005060541443526745"
"279","0.00045039638644084334","0.00045039638644084334","0.00045039638644084334"
"280","0.00043149953125976026","0.00043149953125976026","0.00043149953125976026"
"281","0.0003920507151633501","0.0003920507151633501","0.0003920507151633501"
"282","0.00039075815584510565","0.00039075815584510565","0.00039075815584510565"
"283","0.0003709789307322353","0.0003709789307322353","0.0003709789307322353"
"284","0.00039054127410054207","0.00039054127410054207","0.00039054127410054207"
"285","0.0003730399184860289","0.0003730399184860289","0.0003730399184860289"
"286","0.00034254041383974254","0.00034254041383974254","0.00034254041383974254"
"287","0.00034849494113586843","0.00034849494113586843","0.00034849494113586843"
"288","0.00033358269138261676","0.00033358269138261676","0.00033358269138261676"
"289","0.000322909647366032","0.000322909647366032","0.000322909647366032"
"290","0.0003105362702626735","0.0003105362702626735","0.0003105362702626735"
"291","0.00029741745674982667","0.00029741745674982667","0.00029741745674982667"
"292","0.0003063530893996358","0.0003063530893996358","0.0003063530893996358"
"293","0.00027007856988348067","0.00027007856988348067","0.00027007856988348067"
"294","0.0002654340642038733","0.0002654340642038733","0.0002654340642038733"
"295","0.0002769235288724303","0.0002769235288724303","0.0002769235288724303"
"296","0.00025640823878347874","0.00025640823878347874","0.00025640823878347874"
"297","0.0002489641192369163","0.0002489641192369163","0.0002489641192369163"
"298","0.00024172544362954795","0.00024172544362954795","0.00024172544362954795"
"299","0.00024050590582191944","0.00024050590582191944","0.00024050590582191944"
"300","0.0002482695854268968","0.0002482695854268968","0.0002482695854268968"
"301","0.00024156620202120394","0.00024156620202120394","0.00024156620202120394"
"302","0.00022954086307436228","0.00022954086307436228","0.00022954086307436228"
"303","0.0002262287598568946","0.0002262287598568946","0.0002262287598568946"
"304","0.0002307768154423684","0.0002307768154423684","0.0002307768154423684"
"305","0.00022771480144001544","0.00022771480144001544","0.00022771480144001544"
"306","0.00021402444690465927","0.00021402444690465927","0.00021402444690465927"
"307","0.00022200947569217533","0.00022200947569217533","0.00022200947569217533"
"308","0.0002148131316062063","0.0002148131316062063","0.0002148131316062063"
"309","0.00020188422058708966","0.00020188422058708966","0.00020188422058708966"
"310","0.00020025086996611208","0.00020025086996611208","0.00020025086996611208"
"311","0.00020716972358059138","0.00020716972358059138","0.00020716972358059138"
"312","0.0002127347543137148","0.0002127347543137148","0.0002127347543137148"
"313","0.00020092655904591084","0.00020092655904591084","0.00020092655904591084"
"314","0.00018818455282598734","0.00018818455282598734","0.00018818455282598734"
"315","0.00019176906789653003","0.00019176906789653003","0.00019176906789653003"
"316","0.00017991938511841","0.00017991938511841","0.00017991938511841"
"317","0.00018147392256651074","0.00018147392256651074","0.00018147392256651074"
"318","0.0001930190483108163","0.0001930190483108163","0.0001930190483108163"
"319","0.00017466521239839494","0.00017466521239839494","0.00017466521239839494"
"320","0.0001777003926690668","0.0001777003926690668","0.0001777003926690668"
"321","0.00016996319754980505","0.00016996319754980505","0.00016996319754980505"
"322","0.00016511918511241674","0.00016511918511241674","0.00016511918511241674"
"323","0.00016816752031445503","0.00016816752031445503","0.00016816752031445503"
"324","0.00017035518249031156","0.00017035518249031156","0.00017035518249031156"
"325","0.00017604196909815073","0.00017604196909815073","0.00017604196909815073"
"326","0.00015938139404170215","0.00015938139404170215","0.00015938139404170215"
"327","0.00015629483095835894","0.00015629483095835894","0.00015629483095835894"
"328","0.00015035936667118222","0.00015035936667118222","0.00015035936667118222"
"329","0.00015302943938877434","0.00015302943938877434","0.00015302943938877434"
"330","0.00016559528012294322","0.00016559528012294322","0.00016559528012294322"
"331","0.00014818656200077385","0.00014818656200077385","0.00014818656200077385"
"332","0.00015283090760931373","0.00015283090760931373","0.00015283090760931373"
"333","0.00014910587924532592","0.00014910587924532592","0.00014910587924532592"
"334","0.00014853122411295772","0.00014853122411295772","0.00014853122411295772"
"335","0.00014149179332889616","0.00014149179332889616","0.00014149179332889616"
"336","0.00014754556468687952","0.00014754556468687952","0.00014754556468687952"
"337","0.00013643669080920517","0.00013643669080920517","0.00013643669080920517"
"338","0.0001500380167271942","0.0001500380167271942","0.0001500380167271942"
"339","0.00014240716700442135","0.00014240716700442135","0.00014240716700442135"
"340","0.00014275492867454886","0.00014275492867454886","0.00014275492867454886"
"341","0.00013228916213847697","0.00013228916213847697","0.00013228916213847697"
"342","0.00013076157483737916","0.00013076157483737916","0.00013076157483737916"
"343","0.0001368280645692721","0.0001368280645692721","0.0001368280645692721"
"344","0.000135190348373726","0.000135190348373726","0.000135190348373726"
"345","0.00013921473873779178","0.00013921473873779178","0.00013921473873779178"
"346","0.00013065501116216183","0.00013065501116216183","0.00013065501116216183"
"347","0.0001285736361751333","0.0001285736361751333","0.0001285736361751333"
"348","0.00013112020678818226","0.00013112020678818226","0.00013112020678818226"
"349","0.00012840077397413552","0.00012840077397413552","0.00012840077397413552"
"350","0.0001208167668664828","0.0001208167668664828","0.0001208167668664828"
"351","0.00011817787162726745","0.00011817787162726745","0.00011817787162726745"
"352","0.00011687783262459561","0.00011687783262459561","0.00011687783262459561"
"353","0.0001291254156967625","0.0001291254156967625","0.0001291254156967625"
"354","0.00012037166015943512","0.00012037166015943512","0.00012037166015943512"
"355","0.00012115726713091135","0.00012115726713091135","0.00012115726713091135"
"356","0.0001195280347019434","0.0001195280347019434","0.0001195280347019434"
"357","0.0001162508997367695","0.0001162508997367695","0.0001162508997367695"
"358","0.0001195856966660358","0.0001195856966660358","0.0001195856966660358"
"359","0.00011711676779668778","0.00011711676779668778","0.00011711676779668778"
"360","0.00011036427167709917","0.00011036427167709917","0.00011036427167709917"
"361","0.00011421721865190193","0.00011421721865190193","0.00011421721865190193"
"362","0.00011366374383214861","0.00011366374383214861","0.00011366374383214861"
"363","0.00011323601938784122","0.00011323601938784122","0.00011323601938784122"
"364","0.00010873049905057997","0.00010873049905057997","0.00010873049905057997"
"365","0.0001114114056690596","0.0001114114056690596","0.0001114114056690596"
"366","0.00010516519978409633","0.00010516519978409633","0.00010516519978409633"
"367","0.00010748229396995157","0.00010748229396995157","0.00010748229396995157"
"368","0.00010832757106982172","0.00010832757106982172","0.00010832757106982172"
"369","0.00010355550330132246","0.00010355550330132246","0.00010355550330132246"
"370","0.00010520455543883145","0.00010520455543883145","0.00010520455543883145"
"371","0.00010019123874371871","0.00010019123874371871","0.00010019123874371871"
"372","0.00010728161578299478","0.00010728161578299478","0.00010728161578299478"
"373","0.0001045013777911663","0.0001045013777911663","0.0001045013777911663"
"374","0.0001022975193336606","0.0001022975193336606","0.0001022975193336606"
"375","0.00009692124149296433","0.00009692124149296433","0.00009692124149296433"
"376","0.00010651565389707685","0.00010651565389707685","0.00010651565389707685"
"377","0.00010256731184199452","0.00010256731184199452","0.00010256731184199452"
"378","0.00009657269401941448","0.00009657269401941448","0.00009657269401941448"
"379","0.00010045194358099252","0.00010045194358099252","0.00010045194358099252"
"380","0.00009992788545787334","0.00009992788545787334","0.00009992788545787334"
"381","0.00009715599298942834","0.00009715599298942834","0.00009715599298942834"
"382","0.00010212593770120293","0.00010212593770120293","0.00010212593770120293"
"383","0.00009413413499714807","0.00009413413499714807","0.00009413413499714807"
"384","0.00009804923320189118","0.00009804923320189118","0.00009804923320189118"
"385","0.0001048864287440665","0.0001048864287440665","0.0001048864287440665"
"386","0.00009696598863229156","0.00009696598863229156","0.00009696598863229156"
"387","0.00011743111826945096","0.00011743111826945096","0.00011743111826945096"
"388","0.00010095822653966025","0.00010095822653966025","0.00010095822653966025"
"389","0.00009692247840575874","0.00009692247840575874","0.00009692247840575874"
"390","0.00011740329500753433","0.00011740329500753433","0.00011740329500753433"
"391","0.0000969062966760248","0.0000969062966760248","0.0000969062966760248"
"392","0.00009878053970169276","0.00009878053970169276","0.00009878053970169276"
"393","0.00010595039202598855","0.00010595039202598855","0.00010595039202598855"
"394","0.00009576264710631222","0.00009576264710631222","0.00009576264710631222"
"395","0.00009215254976879805","0.00009215254976879805","0.00009215254976879805"
