"Step","wv3 ratio_0 - RND/FUG_loss","wv3 ratio_0 - RND/FUG_loss__MIN","wv3 ratio_0 - RND/FUG_loss__MAX"
"251","0.36963149905204773","0.36963149905204773","0.36963149905204773"
"256","0.07350299507379532","0.07350299507379532","0.07350299507379532"
"258","0.022735105827450752","0.022735105827450752","0.022735105827450752"
"259","0.03987588360905647","0.03987588360905647","0.03987588360905647"
"262","0.05424311012029648","0.05424311012029648","0.05424311012029648"
"271","0.04038206860423088","0.04038206860423088","0.04038206860423088"
"284","0.0056562358513474464","0.0056562358513474464","0.0056562358513474464"
"286","0.005468497518450022","0.005468497518450022","0.005468497518450022"
"288","0.0051734913140535355","0.0051734913140535355","0.0051734913140535355"
"292","0.0049501145258545876","0.0049501145258545876","0.0049501145258545876"
"299","0.0048517510294914246","0.0048517510294914246","0.0048517510294914246"
"301","0.0048163291066884995","0.0048163291066884995","0.0048163291066884995"
"303","0.004779183305799961","0.004779183305799961","0.004779183305799961"
"314","0.004620240069925785","0.004620240069925785","0.004620240069925785"
"316","0.004541169386357069","0.004541169386357069","0.004541169386357069"
"320","0.004510216880589724","0.004510216880589724","0.004510216880589724"
"325","0.0045115151442587376","0.0045115151442587376","0.0045115151442587376"
"335","0.004390981514006853","0.004390981514006853","0.004390981514006853"
"342","0.004356473218649626","0.004356473218649626","0.004356473218649626"
"352","0.004250757396221161","0.004250757396221161","0.004250757396221161"
"357","0.004184699151664972","0.004184699151664972","0.004184699151664972"
"363","0.004137308336794376","0.004137308336794376","0.004137308336794376"
"364","0.004072558134794235","0.004072558134794235","0.004072558134794235"
"366","0.004053208976984024","0.004053208976984024","0.004053208976984024"
"367","0.003996383398771286","0.003996383398771286","0.003996383398771286"
"372","0.004067949950695038","0.004067949950695038","0.004067949950695038"
"376","0.00402634683996439","0.00402634683996439","0.00402634683996439"
"377","0.003957781940698624","0.003957781940698624","0.003957781940698624"
"379","0.003966988995671272","0.003966988995671272","0.003966988995671272"
"388","0.0039840214885771275","0.0039840214885771275","0.0039840214885771275"
"396","0.003964094445109367","0.003964094445109367","0.003964094445109367"
"399","0.003903621109202504","0.003903621109202504","0.003903621109202504"
"401","0.0038564386777579784","0.0038564386777579784","0.0038564386777579784"
"404","0.0038526125717908144","0.0038526125717908144","0.0038526125717908144"
"408","0.0038680576253682375","0.0038680576253682375","0.0038680576253682375"
"411","0.0038388436660170555","0.0038388436660170555","0.0038388436660170555"
"412","0.003763229586184025","0.003763229586184025","0.003763229586184025"
"417","0.0038163508288562298","0.0038163508288562298","0.0038163508288562298"
"425","0.0038003847002983093","0.0038003847002983093","0.0038003847002983093"
"427","0.0037559783086180687","0.0037559783086180687","0.0037559783086180687"
"432","0.0037806439213454723","0.0037806439213454723","0.0037806439213454723"
"433","0.003754221135750413","0.003754221135750413","0.003754221135750413"
"438","0.003772667609155178","0.003772667609155178","0.003772667609155178"
"440","0.0037667625583708286","0.0037667625583708286","0.0037667625583708286"
"442","0.0036933196242898703","0.0036933196242898703","0.0036933196242898703"
"449","0.003778111422434449","0.003778111422434449","0.003778111422434449"
"466","0.0037202253006398678","0.0037202253006398678","0.0037202253006398678"
"467","0.0036639387253671885","0.0036639387253671885","0.0036639387253671885"
"468","0.003678919281810522","0.003678919281810522","0.003678919281810522"
"469","0.003678124863654375","0.003678124863654375","0.003678124863654375"
"473","0.0036738538183271885","0.0036738538183271885","0.0036738538183271885"
"476","0.003685485338792205","0.003685485338792205","0.003685485338792205"
"485","0.003757673082873225","0.003757673082873225","0.003757673082873225"
"494","0.003684159368276596","0.003684159368276596","0.003684159368276596"
"497","0.0036817039363086224","0.0036817039363086224","0.0036817039363086224"
