0warm,5warm,10warm,15warm,20warm,25warm,30warm,35warm,40warm
0.0320842266082763,,,,,,,,
0.0034311276394873,,,,,,,,
0.0021904148161411,,,,,,,,
0.0016388001386076,,,,,,,,
0.001414805301465,,,,,,,,
0.0013464480871334,0.0058832103386521,,,,,,,
0.0013777979183942,0.0028977352194488,,,,,,,
0.0012796279042959,0.0021194573491811,,,,,,,
0.0011642011813819,0.0013168179430067,,,,,,,
0.0010359229054301,0.0010679671540856,,,,,,,
0.0008898613159544,0.0010359736625105,0.0016287879552692,,,,,,
0.0009345132857561,0.0009248389396816,0.0044236397370696,,,,,,
0.0008491589105688,0.0008155597606673,0.0015556262806057,,,,,,
0.0007823869818821,0.0006904966430738,0.001409396296367,,,,,,
0.0008174311951734,0.000632511684671,0.001167454291135,,,,,,
0.0007259988342411,0.0005762109067291,0.0008817997295409,0.0016245756996795,,,,,
0.0007577660726383,0.0005416181520558,0.0008341192733496,0.001954473555088,,,,,
0.000794859835878,0.000519513268955,0.0007827246445231,0.0014187183696776,,,,,
0.0006106529035605,0.0005006074206903,0.0007282904116436,0.0009117392473854,,,,,
0.0006540509057231,0.0004898473853245,0.0006273696199059,0.0007763673784211,,,,,
0.00064392760396,0.0004806658544111,0.0005749405827373,0.0008064634166657,0.0015010992065072,,,,
0.0006087900255806,0.0004358434525784,0.0004963589599356,0.000748109887354,0.0014926667790859,,,,
0.0005858116201125,0.0004272623627912,0.00049389898777,0.0006557769374921,0.0009448438649997,,,,
0.0005745268426835,0.000431552180089,0.0004627298912964,0.0005743242218159,0.0007397177978418,,,,
0.0005355705507099,0.0004054849850945,0.0004512154264375,0.0005225311033427,0.0007036776514723,,,,
0.0005131633370183,0.0004069721908308,0.0004150222812313,0.0004637993697542,0.0006270377198234,0.0011248235823586,,,
0.0004992336034774,0.0003875149996019,0.0004218060348648,0.0004500200157053,0.0005668255034834,0.0016171038150787,,,
0.0005156332626938,0.0003913845284841,0.0004080830840393,0.0004304725734982,0.0005060541443526,0.001154322293587,,,
0.0005124775343574,0.0003718218940775,0.000392377958633,0.0004097359487786,0.0004503963864408,0.0008781006326898,,,
0.0005241890903562,0.0003860972356051,0.0003747164737433,0.0004124864935874,0.0004314995312597,0.0006755560170859,,,
0.0004981121164746,0.0003756147052627,0.0003776436496991,0.0003871856024488,0.0003920507151633,0.0006746964063495,0.0011172153754159,,
